Pkt ID,Route,Generation Time (in s),First Tx At (in s),Delay (in s),Times Packet Forwarded,Retransmissions,Packet Size (in bytes),Tx Power (in watt),Average Transmission Power in the route (in watt),Min. SINR Along Route,SINR at Flow Dest,Min. Data Rate Along Route (in Mbps),Data Rate at Flow Src (in Mbps)
2000630445065_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.630445,2000.630715,0.005836,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000641313883_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.641314,2000.641464,0.005756,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000652182483_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.652182,2000.652312,0.005757,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000663049374_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.663049,2000.663239,0.005357,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000673919720_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.67392,2000.67411,0.005856,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000684790889_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.684791,2000.685021,0.005616,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000695665379_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.695665,2000.695895,0.005857,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000706539805_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.70654,2000.70669,0.005696,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000717405648_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.717406,2000.717716,0.005816,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000728276894_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.728277,2000.728507,0.005976,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000739143166_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.739143,2000.739473,0.006077,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000750009747_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.75001,2000.75008,0.005696,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000760882511_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.760883,2000.761213,0.005856,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000771753661_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.771754,2000.771964,0.005896,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000782620298_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.78262,2000.78297,0.005637,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000793490944_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.793491,2000.793561,0.005596,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000804364870_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.804365,2000.804575,0.006036,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000815234146_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.815234,2000.815544,0.005937,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000826099487_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.826099,2000.826229,0.005477,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000836965547_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.836966,2000.837256,0.005896,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000847835429_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.847835,2000.847905,0.005757,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000858705738_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.858706,2000.858936,0.005916,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000869577077_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.869577,2000.869647,0.006056,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000880449971_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.88045,2000.88068,0.005896,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000891322594_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.891323,2000.891633,0.005756,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000902196834_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.902197,2000.902547,0.005916,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000913068496_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.913068,2000.913198,0.005757,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000923940496_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.92394,2000.92407,0.005837,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000934812720_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.934813,2000.935143,0.005996,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000945677781_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.945678,2000.946008,0.005716,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000956546843_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.956547,2000.956837,0.005836,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000967417082_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.967417,2000.967687,0.005596,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000978290108_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.97829,2000.97858,0.005696,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000989161398_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.989161,2000.989211,0.005517,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2001000029713_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2001.00003,2001.00022,0.005996,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2001010895403_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2001.010895,2001.011225,0.005537,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2001021768481_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2001.021768,2001.022118,0.006297,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2001032636059_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2001.032636,2001.032986,0.005896,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2001043503499_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2001.043503,2001.043613,0.005837,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2001054370246_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2001.05437,2001.05458,0.005937,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2001065239175_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2001.065239,2001.065429,0.005817,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2001076105668_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2001.076106,2001.076256,0.005856,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2001086972083_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2001.086972,2001.087182,0.005896,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2001097840968_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2001.097841,2001.098171,0.005836,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
