Pkt ID,Route,Generation Time (in s),First Tx At (in s),Delay (in s),Times Packet Forwarded,Retransmissions,Packet Size (in bytes),Tx Power (in watt),Average Transmission Power in the route (in watt),Min. SINR Along Route,SINR at Flow Dest,Min. Data Rate Along Route (in Mbps),Data Rate at Flow Src (in Mbps)
2000491787619_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.491788,2000.491918,0.00449,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000499986516_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.499987,2000.500157,0.00463,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000508186985_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.508187,2000.508317,0.00451,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000516385028_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.516385,2000.516675,0.00445,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000524577288_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.524577,2000.524707,0.004651,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000532775417_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.532775,2000.532985,0.004671,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000540971272_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.540971,2000.541221,0.004791,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000549164668_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.549165,2000.549455,0.00499,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000557365552_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.557366,2000.557576,0.00441,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000565562892_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.565563,2000.565753,0.00449,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000573763151_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.573763,2000.574073,0.00477,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000581963366_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.581963,2000.582133,0.004851,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000590157930_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.590158,2000.590208,0.00459,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000598349912_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.59835,2000.59842,0.00429,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000606546311_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.606546,2000.606696,0.004811,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000614740270_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.61474,2000.61483,0.00465,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
